Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por hogar;2022;36.998
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por hogar;2022;39.505
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por hogar;2022;41.474
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por hogar;2022;54.343
28080 Majadahonda;;;Renta neta media por hogar;2022;70.529
28082 Manzanares el Real;;;Renta neta media por hogar;2022;41.294
28083 Meco;;;Renta neta media por hogar;2022;45.490
28084 Mejorada del Campo;;;Renta neta media por hogar;2022;35.905
28085 Miraflores de la Sierra;;;Renta neta media por hogar;2022;38.602
28086 El Molar;;;Renta neta media por hogar;2022;34.397
28087 Molinos, Los;;;Renta neta media por hogar;2022;41.567
28088 Montejo de la Sierra;;;Renta neta media por hogar;2022;31.003
28089 Moraleja de Enmedio;;;Renta neta media por hogar;2022;43.101
28090 Moralzarzal;;;Renta neta media por hogar;2022;50.632
28091 Morata de Tajuna;;;Renta neta media por hogar;2022;32.429
28092 Mostoles;;;Renta neta media por hogar;2022;36.297
28093 Navacerrada;;;Renta neta media por hogar;2022;44.183
28094 Navalafuente;;;Renta neta media por hogar;2022;32.696
28095 Navalagamella;;;Renta neta media por hogar;2022;33.622
28096 Navalcarnero;;;Renta neta media por hogar;2022;40.466
28097 Navarredonda y San Mames;;;Renta neta media por hogar;2022;27.994
28099 Navas del Rey;;;Renta neta media por hogar;2022;32.323
28100 Nuevo Baztan;;;Renta neta media por hogar;2022;42.397
28101 Olmeda de las Fuentes;;;Renta neta media por hogar;2022;39.860
28102 Orusco de Tajuna;;;Renta neta media por hogar;2022;27.946
28104 Paracuellos de Jarama;;;Renta neta media por hogar;2022;60.058
28106 Parla;;;Renta neta media por hogar;2022;32.919
28107 Patones;;;Renta neta media por hogar;2022;36.985
28108 Pedrezuela;;;Renta neta media por hogar;2022;39.124
28109 Pelayos de la Presa;;;Renta neta media por hogar;2022;27.045
28110 Perales de Tajuna;;;Renta neta media por hogar;2022;31.659
